id,copetin,golosinas,facturas,preelaborados,FC_bebidas_con_azucar
86791221,Nunca o menos de 1 vez al mes,1 vez al dia,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez al dia
86799945,1 vez por semana,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,2 a 4 veces por semana
86871875,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,1 vez por semana,Entre 2 y 3 veces al dia
86871876,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,1 vez por semana,Nunca o menos de 1 vez al mes,Entre 4 y 5 veces al dia
86875396,2 a 4 veces por semana,Entre 2 y 3 veces al dia,Entre 2 y 3 veces al dia,Nunca o menos de 1 vez al mes,Entre 4 y 5 veces al dia
86878670,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
86895579,1 vez por semana,1 vez por semana,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
86895592,1 vez por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
86902641,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,1 vez por semana
86954780,1 vez por semana,2 a 4 veces por semana,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,5 a 6 veces por semana
86965724,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,1 vez por semana
86974764,1 vez por semana,2 a 4 veces por semana,1 vez por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
86986278,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Entre 4 y 5 veces al dia
86986280,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,1 vez por semana,Nunca o menos de 1 vez al mes,Entre 4 y 5 veces al dia
86989281,Entre 1 y 3 veces al mes,2 a 4 veces por semana,1 vez por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
86989283,1 vez por semana,1 vez al dia,1 vez por semana,1 vez por semana,Entre 2 y 3 veces al dia
86990054,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,5 a 6 veces por semana
86995085,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 2 y 3 veces al dia
87006119,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,1 vez por semana,Nunca o menos de 1 vez al mes,1 vez al dia
87006120,Nunca o menos de 1 vez al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,1 vez por semana
87011582,1 vez por semana,1 vez por semana,1 vez por semana,1 vez por semana,Nunca o menos de 1 vez al mes
87026075,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
87051160,Entre 1 y 3 veces al mes,1 vez por semana,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,Entre 2 y 3 veces al dia
87061101,1 vez al dia,1 vez al dia,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,Entre 2 y 3 veces al dia
87065229,2 a 4 veces por semana,Entre 1 y 3 veces al mes,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes
87077172,1 vez por semana,2 a 4 veces por semana,5 a 6 veces por semana,Nunca o menos de 1 vez al mes,1 vez por semana
87077173,1 vez por semana,2 a 4 veces por semana,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,1 vez por semana
87083305,Entre 1 y 3 veces al mes,1 vez por semana,1 vez al dia,1 vez por semana,1 vez por semana
87086717,Entre 1 y 3 veces al mes,Entre 1 y 3 veces al mes,2 a 4 veces por semana,Entre 1 y 3 veces al mes,Nunca o menos de 1 vez al mes
87163543,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez al dia
87192813,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,Nunca o menos de 1 vez al mes,1 vez al dia
87202829,1 vez por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana,Nunca o menos de 1 vez al mes,2 a 4 veces por semana
